Erbil International,Medium airport,Arbil,Iraq,EBL,ORER,
El Borma,Medium airport,El Borma,Tunisia,EBM,DTTR,
Ebadon,Small airport,Ebadon Island,Marshall Islands,EBN,,
Ebon,Small airport,Ebon Atoll,Marshall Islands,EBO,,
Downtown잺losed,Closed,Baton Rouge,United States,EBR,,
Webster City Municipal,Small airport,Webster City,United States,EBS,KEBS,EBS
Saint-?ienne-Bouth?n,Medium airport,Saint-?ienne/Bouth?n,France,EBU,LFMH,
Ebolowa,Small airport,Ebolowa,Cameroon,EBW,FKKW,
Iosco County,Small airport,East Tawas,United States,ECA,,6D9
Elizabeth City Regional & Coast Guard Air Station,Medium airport,Elizabeth City,United States,ECG,KECG,ECG
Echuca,Medium airport,,Australia,ECH,YECH,
Ercan International,Medium airport,Nicosia,Cyprus,ECN,LCEN,
El Encanto,Small airport,El Encanto,Colombia,ECO,,
Northwest Florida Beaches International,Medium airport,Panama City Beach,United States,ECP,KECP,ECP
El Charco,Small airport,El Charco,Colombia,ECR,SKEH,
Mondell Field,Small airport,Newcastle,United States,ECS,KECS,ECS
Cuatro Vientos,Medium airport,Madrid,Spain,ECV,LECU,
Edna Bay Seaplane Base잺losed,Closed,Edna Bay,United States,EDA,,
El Debba,Small airport,El Debba,Sudan,EDB,HSDB,
Erldunda,Small airport,,Australia,EDD,YERL,
Northeastern Regional,Small airport,Edenton,United States,EDE,KEDE,EDE
Elmendorf Air Force Base,Medium airport,Anchorage,United States,EDF,PAED,EDF
Edinburgh,Large airport,Edinburgh,United Kingdom,EDI,EGPH,
Captain Jack Thomas El Dorado,Small airport,El Dorado,United States,EDK,KEQA,EQA
Eldoret International,Medium airport,Eldoret,Kenya,EDL,HKEL,
La Roche-sur-Yon,Medium airport,La Roche-sur-Yon/Les Ajoncs,France,EDM,LFRI,
Bal?kesir K?fez,Medium airport,Edremit,Turkey,EDO,LTFD,
Erandique,Small airport,Erandique,Honduras,EDQ,MHGU,
Pormpuraaw,Small airport,Pormpuraaw,Australia,EDR,YPMP,
Edwards Air Force Base,Large airport,Edwards,United States,EDW,KEDW,EDW
Needles,Medium airport,Needles,United States,EED,KEED,EED
Eek,Small airport,Eek,United States,EEK,PAEE,EEK
Dillant Hopkins,Medium airport,Keene,United States,EEN,KEEN,EEN
Eight Fathom Bight잺losed,Closed,Eight Fathom Bight,United States,EFB,,
Ellington,Medium airport,Houston,United States,EFD,KEFD,EFD
Efogi,Small airport,Efogi,Papua New Guinea,EFG,AYEF,
Newport State,Small airport,Newport,United States,EFK,KEFK,EFK
Kefallinia,Medium airport,Kefallinia Island,Greece,EFL,LGKF,
Engati Airstrip,Small airport,Engati,Papua New Guinea,EGA,AYEN,
Bergerac-Roumani?e,Medium airport,Bergerac/Roumani?e,France,EGC,LFBE,
Eagle County Regional,Medium airport,Eagle,United States,EGE,KEGE,EGE
El Gora,Medium airport,El Gora,Egypt,EGH,HEGR,
Duke Field,Medium airport,Crestview,United States,EGI,KEGI,EGI
Negele,Small airport,Negele Borana,Ethiopia,EGL,HANG,
Sege,Small airport,Sege,Solomon Islands,EGM,AGGS,
Geneina,Small airport,Geneina,Sudan,EGN,HSGN,
Belgorod International,Medium airport,Belgorod,Russia,EGO,UUOB,
Maverick County Memorial International,Small airport,Eagle Pass,United States,EGP,5T9,5T9
Egilssta?r,Medium airport,Egilssta?r,Iceland,EGS,BIEG,
Eagle River Union,Small airport,Eagle River,United States,EGV,KEGV,EGV
Egegik,Medium airport,Egegik,United States,EGX,PAII,EII
El Bolson,Medium airport,El Bolson,Argentina,EHL,SAVB,
Cape Newenham LRRS,Medium airport,Cape Newenham,United States,EHM,PAEH,EHM
Rentschler,Heliport,East Hartford,United States,EHT,CT88,CT88
Popondetta잺losed,Closed,Eia,Papua New Guinea,EIA,,
Eisenach-Kindel,Medium airport,Eisenach,Germany,EIB,EDGE,
Yeniseysk,Medium airport,Yeniseysk,Russia,EIE,UNII,
Einasleigh,Small airport,Einasleigh,Australia,EIH,YEIN,
Yeysk,Medium airport,Yeysk,Russia,EIK,URKE,
Eielson Air Force Base,Medium airport,Fairbanks,United States,EIL,PAEI,EIL
Eindhoven,Large airport,Eindhoven,Netherlands,EIN,EHEH,
Terrance B. Lettsome International,Medium airport,Road Town,British Virgin Islands,EIS,TUPJ,
Ein Yahav Airfield,Small airport,Sapir,Israel,EIY,LLEY,
Yarigu?s,Medium airport,Barrancabermeja,Colombia,EJA,SKEJ,
Al Wajh Domestic,Medium airport,Al Wajh,Saudi Arabia,EJH,OEWJ,
Murray Field,Medium airport,Eureka,United States,EKA,KEKA,EKA
Ekibastuz,Medium airport,Ekibastuz,Kazakhstan,EKB,UASB,
Elkedra,Small airport,,Australia,EKD,YELK,
Ekereku잺losed,Closed,Ekereku,Guyana,EKE,,
Elkhart Municipal,Small airport,Elkhart,United States,EKI,KEKM,EKM
Elkins-Randolph Co-Jennings Randolph Field,Medium airport,Elkins,United States,EKN,KEKN,EKN
Elko Regional,Medium airport,Elko,United States,EKO,KEKO,EKO
Shakhtyorsk,Small airport,Shakhtersk,Russia,EKS,UHSK,
Eskilstuna,Medium airport,Eskilstuna,Sweden,EKT,ESSU,
Addington Field,Small airport,Elizabethtown,United States,EKX,KEKX,EKX
Eagle Lake,Small airport,Eagle Lake,United States,ELA,KELA,ELA
Las Flores,Medium airport,El Banco,Colombia,ELB,SKBC,
Elcho Island,Medium airport,Elcho Island,Australia,ELC,YELD,
South Arkansas Regional At Goodwin Field,Medium airport,El Dorado,United States,ELD,KELD,ELD
EL Real잺losed,Closed,El Real de Santa Mar?,Panama,ELE,,
El Fasher,Medium airport,El Fasher,Sudan,ELF,HSFS,
El Golea,Medium airport,,Algeria,ELG,DAUE,
North Eleuthera,Medium airport,North Eleuthera,Bahamas,ELH,MYEH,
Elim,Small airport,Elim,United States,ELI,PFEL,ELI
El Recreo,Small airport,Ruperto Polania,Colombia,ELJ,,
Ellisras Matimba,Small airport,Ellisras,South Africa,ELL,FAER,
Elmira Corning Regional,Medium airport,Elmira/Corning,United States,ELM,KELM,ELM
Bowers Field,Small airport,Ellensburg,United States,ELN,KELN,ELN
El Dorado,Small airport,El Dorado,Argentina,ELO,SATD,
El Paso International,Medium airport,El Paso,United States,ELP,KELP,ELP
Gassim,Medium airport,,Saudi Arabia,ELQ,OEGS,
Elelim,Small airport,Elelim-Papua Island,Indonesia,ELR,WAJN,
Ben Schoeman,Medium airport,East London,South Africa,ELS,FAEL,
El Tor,Small airport,,Egypt,ELT,HETR,
Guemar,Medium airport,Guemar,Algeria,ELU,DAUO,
Elfin Cove,Seaplane base,Elfin Cove,United States,ELV,PAEL,ELV
Ellamar Seaplane Base잺losed,Closed,Ellamar,United States,ELW,,
Isla de Tigre,Heliport,Isla de Tigre,Venezuela,ELX,,
Ely Yelland Field,Medium airport,Ely,United States,ELY,KELY,ELY
"Wellsville Municipal Arpt,Tarantine Field",Small airport,Wellsville,United States,ELZ,KELZ,ELZ
East Midlands,Large airport,Nottingham,United Kingdom,EMA,EGNX,
Embarkadero잺losed,Closed,San Francisco,United States,EMB,,
Emerald,Medium airport,Emerald,Australia,EMD,YEML,
Emden,Small airport,Emden,Germany,EME,EDWE,
Empangeni,Small airport,Empangeni,South Africa,EMG,FAEM,
Emirau,Small airport,Emirau Island,Papua New Guinea,EMI,AYEE,
Emmonak,Medium airport,Emmonak,United States,EMK,PAEM,ENM
Emmen Air Base,Medium airport,,Switzerland,EML,LSME,
Kemmerer Municipal,Small airport,Kemmerer,United States,EMM,KEMM,EMM
N?a,Small airport,N?a,Mauritania,EMN,GQNI,
Emo River Airstrip,Small airport,Emo Mission,Papua New Guinea,EMO,AYEO,
Emporia Municipal,Small airport,Emporia,United States,EMP,KEMP,EMP
Embessa,Small airport,Embessa,Papua New Guinea,EMS,AYEB,
El Monte,Small airport,El Monte,United States,EMT,KEMT,EMT
El Maiten,Small airport,El Maiten,Argentina,EMX,SAVD,
El Minya,Small airport,Minya,Egypt,EMY,HEMN,
Kenai Municipal,Medium airport,Kenai,United States,ENA,PAEN,ENA
Eneabba,Small airport,Eneabba,Australia,ENB,YEEB,
Nancy-Essey,Medium airport,Nancy/Essey,France,ENC,LFSN,
Vance Air Force Base,Large airport,Enid,United States,END,KEND,END
Ende (H Hasan Aroeboesman),Small airport,Ende-Flores Island,Indonesia,ENE,WATE,
Enontekio,Medium airport,Enontekio,Finland,ENF,EFET,
Enshi,Small airport,Enshi,China,ENH,ZHES,
El Nido,Small airport,El Nido,Philippines,ENI,,
El Naranjo잺losed,Closed,El Naranjo,Guatemala,ENJ,,
St Angelo,Medium airport,Enniskillen,United Kingdom,ENK,EGAB,
Nenana Municipal,Medium airport,Nenana,United States,ENN,PANN,ENN
Encarnaci?,Small airport,Encarnaci?,Paraguay,ENO,SGEN,
Coronel E Soto Cano AB잺losed,Closed,Coronel E Soto Cano AB,Honduras,ENQ,,
Twente,Medium airport,Enschede,Netherlands,ENS,EHTW,
Eniwetok,Small airport,Eniwetok Atoll,Marshall Islands,ENT,PKMA,
Akanu Ibiam International,Medium airport,Enegu,Nigeria,ENU,DNEN,
Wendover,Medium airport,Wendover,United States,ENV,KENV,ENV
Kenosha Regional,Medium airport,Kenosha,United States,ENW,KENW,ENW
Yan'an Ershilipu,Small airport,Yan'an,China,ENY,ZLYA,
Enrique Olaya Herrera,Medium airport,Medell?,Colombia,EOH,SKMD,
Eday,Medium airport,Eday,United Kingdom,EOI,EGED,
Keokuk Municipal,Small airport,Keokuk,United States,EOK,KEOK,EOK
El Dorado,Medium airport,Bolivar,Venezuela,EOR,SVED,
Neosho잺losed,Closed,Neosho,United States,EOS,,
Elorza,Medium airport,,Venezuela,EOZ,SVEZ,
El Palomar,Medium airport,El Palomar,Argentina,EPA,SADP,
Browns,Small airport,Weeping Water,United States,EPG,NE69,NE69
Ephrata Municipal,Small airport,Ephrata,United States,EPH,KEPH,EPH
Epi잺losed,Closed,Epi,Vanuatu,EPI,,
Episkopi잺losed,Closed,Episkopi,Cyprus,EPK,,
?inal-Mirecourt,Medium airport,?inal/Mirecourt,France,EPL,LFSG,
Epena잺losed,Closed,Epena,Congo (Brazzaville),EPN,,
Esperance,Medium airport,Esperance,Australia,EPR,YESP,
Samana El Portillo,Small airport,Samana,Dominican Republic,EPS,MDPO,
Eliptamin,Small airport,Eliptamin,Papua New Guinea,EPT,AYEL,
P?nu,Medium airport,P?nu,Estonia,EPU,EEPU,
Brigadier Antonio Parodi,Medium airport,Esquel,Argentina,EQS,SAVE,
Erigavo,Small airport,Erigavo,Somalia,ERA,HCMU,
Ernabella,Small airport,,Australia,ERB,YERN,
Erzincan,Medium airport,Erzincan,Turkey,ERC,LTCD,
Berdyansk,Small airport,Berdyansk,Ukraine,ERD,UKDB,
Erave,Small airport,Erave,Papua New Guinea,ERE,AYEV,
Erfurt,Medium airport,Erfurt,Germany,ERF,EDDE,
Yerbogachen,Small airport,Erbogachen,Russia,ERG,UIKE,
Moulay Ali Cherif,Medium airport,Errachidia,Morocco,ERH,GMFK,
Erie International Tom Ridge Field,Large airport,Erie,United States,ERI,KERI,ERI
Erenhot Saiwusu International,Medium airport,Erenhot,China,ERL,ZBER,
Erechim,Small airport,Erechim,Brazil,ERM,SSER,
Eirunep?Small airport,Eirunep?Brazil,ERN,SWEI,,,
Coast Guard잺losed,Closed,Eldred Rock,United States,ERO,,
Errol,Small airport,Errol,United States,ERR,KERR,ERR
Eros,Medium airport,Windhoek,Namibia,ERS,FYWE,
Erdenet,Small airport,Erdenet,Mongolia,ERT,,
Erume,Small airport,Erume,Papua New Guinea,ERU,AYER,
Kerrville Municipal Louis Schreiner Field,Small airport,Kerrville,United States,ERV,KERV,ERV
Erzurum International,Large airport,Erzurum,Turkey,ERZ,LTCE,
Esa'ala,Small airport,Esa'ala,Papua New Guinea,ESA,,
Esenbo?a International,Large airport,Ankara,Turkey,ESB,LTAC,
Delta County,Small airport,Escanaba,United States,ESC,KESC,ESC
Orcas Island,Small airport,Eastsound,United States,ESD,KORS,ORS
Ensenada International,Small airport,Ensenada,Mexico,ESE,MMES,
Esler Regional,Medium airport,Alexandria,United States,ESF,KESF,ESF
Dr. Luis Maria Arga? International,Medium airport,Mariscal Estigarribia,Paraguay,ESG,SGME,
Shoreham,Medium airport,Brighton,United Kingdom,ESH,EGKA,
Espinosa,Small airport,Espinosa,Brazil,ESI,SBEP,
Eski?ehir Air Base,Medium airport,,Turkey,ESK,LTBI,
Elista,Medium airport,Elista,Russia,ESL,URWI,
General Rivadeneira,Small airport,Tachina,Ecuador,ESM,SETN,
Easton Newnam Field,Small airport,Easton,United States,ESN,KESN,ESN
Ohkay Owingeh,Small airport,Espanola,United States,ESO,E14,E14
Birchwood-Pocono잺losed,Closed,East Stroudsburg,United States,ESP,,
Stroudsburg Pocono,Small airport,East Stroudsburg,United States,ESP,KN53,N53
Ricardo Garc? Posada,Medium airport,El Salvador,Chile,ESR,SCES,
Essen Mulheim,Small airport,,Germany,ESS,EDLE,
Mogador,Small airport,Essaouira,Morocco,ESU,GMMI,
Easton State,Small airport,Easton,United States,ESW,KESW,ESW
West Bend Municipal,Heliport,West Bend,United States,ETB,KETB,ETB
West Bend Municipal잺losed,Closed,West Bend,United States,ETB,,
Etadunna,Small airport,Etadunna,Australia,ETD,YEDA,
Metema,Small airport,Metema,Ethiopia,ETE,HAMM,
Eilat,Medium airport,Eilat,Israel,ETH,LLET,
Santa Rosa International,Medium airport,Santa Rosa,Ecuador,ETR,SERO,
Metz-Nancy-Lorraine,Medium airport,Metz / Nancy,France,ETZ,LFJL,
Kaufana,Small airport,Eua Island,Tonga,EUA,NFTE,
Eucla,Small airport,,Australia,EUC,YECL,
Eureka,Small airport,Eureka,United States,EUE,05U,05U
Weedon Field,Small airport,Eufaula,United States,EUF,KEUF,EUF
Mahlon Sweet Field,Medium airport,Eugene,United States,EUG,KEUG,EUG
Neum?ster,Small airport,Neum?ster,Germany,EUM,EDHN,
Hassan I,Medium airport,El Aai?,Western Sahara,EUN,GMML,
Paratebueno,Small airport,Paratebueno,Colombia,EUO,,
Evelio Javier,Medium airport,San Jose,Philippines,EUQ,RPVS,
F. D. Roosevelt,Medium airport,Sint Eustatius,Caribbean Netherlands,EUX,TNCE,
Ben Bruce Memorial Airpark,Small airport,Evadale,United States,EVA,4TE8,4TE8
Eva Downs,Small airport,Eva Downs,Australia,EVD,YEVA,
"Harstad/Narvik, Evenes",Medium airport,Evenes,Norway,EVE,ENEV,
Sveg,Medium airport,,Sweden,EVG,ESND,
Evans Head Aerodrome,Small airport,,Australia,EVH,YEVD,
Eveleth Virginia Municipal,Small airport,Eveleth,United States,EVM,KEVM,EVM
Zvartnots International,Large airport,Yerevan,Armenia,EVN,UDYZ,
Evansville Regional,Medium airport,Evansville,United States,EVV,KEVV,EVV
Evanston-Uinta County-Burns Field,Medium airport,Evanston,United States,EVW,KEVW,EVW
?reux-Fauville (BA 105) Air Base,Medium airport,?reux/Fauville,France,EVX,LFOE,
New Bedford Regional,Medium airport,New Bedford,United States,EWB,KEWB,EWB
Ewer,Small airport,Asmat,Indonesia,EWE,,
Enarotali,Small airport,Enarotali-Papua Island,Indonesia,EWI,WABT,
Newton City-County,Small airport,Newton,United States,EWK,KEWK,EWK
Coastal Carolina Regional,Medium airport,New Bern,United States,EWN,KEWN,EWN
Ewo,Small airport,Ewo,Congo (Brazzaville),EWO,FCOE,
Newark Liberty International,Large airport,Newark,United States,EWR,KEWR,EWR
RAF Greenham Common잺losed,Closed,Berkshire,United Kingdom,EWY,EGVI,
Excursion Inlet,Seaplane base,Excursion Inlet,United States,EXI,,EXI
Exmouth,Small airport,,Australia,EXM,YEXM,
Exeter International,Large airport,Exeter,United Kingdom,EXT,EGTE,
Beloyarskiy,Medium airport,,Russia,EYK,,
Y?iman?Small airport,Y?iman?Mali,EYL,GAYE,,,
El Yopal,Medium airport,El Yopal,Colombia,EYP,SKYP,
Yerington Municipal,Small airport,Yerington,United States,EYR,O43,O43
Eliye Springs,Small airport,Eliye Springs,Kenya,EYS,HKES,
Key West International,Medium airport,Key West,United States,EYW,KEYW,EYW
Ministro Pistarini International,Large airport,Buenos Aires,Argentina,EZE,SAEZ,
Elaz??,Medium airport,Elaz??,Turkey,EZS,LTCA,
Berezovo,Medium airport,,Russia,EZV,USHB,
Faranah,Small airport,Faranah,Guinea,FAA,GUFH,
Farnborough,Medium airport,Farnborough,United Kingdom,FAB,EGLF,
Faaite,Small airport,,French Polynesia,FAC,NTKF,
Vagar,Medium airport,Vagar,Faroe Islands,FAE,EKVG,
Felker Army Air Field,Medium airport,Fort Eustis,United States,FAF,KFAF,FAF
Fagurh?sm?i,Small airport,Fagurh?sm?i,Iceland,FAG,BIFM,
Farah,Small airport,Farah,Afghanistan,FAH,OAFR,
Fairbanks International,Large airport,Fairbanks,United States,FAI,PAFA,FAI
Diego Jimenez Torres,Medium airport,Fajardo,Puerto Rico,FAJ,TJFA,
False Island,Seaplane base,False Island,United States,FAK,2Z6,2Z6
Falcon State잺losed,Closed,Roma,United States,FAL,,
Farmington Regional,Small airport,Farmington,United States,FAM,KFAM,FAM
Lista,Small airport,Farsund,Norway,FAN,ENLI,
Faro,Large airport,Faro,Portugal,FAO,LPFR,
Frieda River,Small airport,Frieda River,Papua New Guinea,FAQ,AYFR,
Hector International,Medium airport,Fargo,United States,FAR,KFAR,FAR
F?kr協sfj??r,Small airport,F?kr協sfj??r,Iceland,FAS,BIFF,
Fresno Yosemite International,Medium airport,Fresno,United States,FAT,KFAT,FAT
Fahud,Small airport,Fahud,Oman,FAU,OOFD,
Fakarava,Medium airport,,French Polynesia,FAV,NTGF,
Fayetteville Regional Grannis Field,Medium airport,Fayetteville,United States,FAY,KFAY,FAY
Fasa,Medium airport,Fasa,Iran,FAZ,OISF,
Fonte Boa,Small airport,Fonte Boa,Brazil,FBA,SWOB,
Fayzabad,Small airport,Fayzabad,Afghanistan,FBD,OAFZ,
Francisco Beltr?,Small airport,Francisco Beltr?,Brazil,FBE,SSFB,
Simmons Army Air Field,Medium airport,Fort Bragg,United States,FBG,KFBG,FBG
Ladd AAF Airfield,Medium airport,Fairbanks/Ft Wainwright,United States,FBK,PAFB,FBK
Lubumbashi International,Medium airport,Lubumbashi,Congo (Kinshasa),FBM,FZQA,
Fort Bridger,Small airport,Fort Bridger,United States,FBR,KFBR,FBR
Friday Harbor,Seaplane base,Friday Harbor,United States,FBS,W33,W33
Kilen,Seaplane base,,Norway,FBU,ENFB,
"Oslo, Fornebu잺losed",Closed,Oslo,Norway,FBU,ENFB,
Glacier Park International,Medium airport,Kalispell,United States,FCA,KGPI,GPI
Ficksburg Sentraoes,Medium airport,Ficksburg,South Africa,FCB,FAFB,
Fresno Chandler Executive,Small airport,Fresno,United States,FCH,KFCH,FCH
Flying Cloud,Small airport,Minneapolis,United States,FCM,KFCM,FCM
Nordholz Naval Airbase,Medium airport,Cuxhaven,Germany,FCN,ETMN,
Leonardo da Vinci뺽iumicino,Large airport,Rome,Italy,FCO,LIRF,
Butts AAF (Fort Carson) Air Field,Medium airport,Fort Carson,United States,FCS,KFCS,FCS
Vagabond Army,Heliport,Yakima,United States,FCT,KFCT,FCT
Fundaci?,Small airport,Fundaci?,Colombia,FDA,SKFU,
F?de,Small airport,F?de,Norway,FDE,ENBL,
Martinique Aim?C?aire International,Medium airport,Fort-de-France,Martinique,FDF,TFFF,
Friedrichshafen,Medium airport,Friedrichshafen,Germany,FDH,EDNY,
Frederick Municipal,Small airport,Frederick,United States,FDK,KFDK,FDK
San Fernando,Medium airport,San Fernando,Argentina,FDO,SADF,
Bandundu,Medium airport,,Congo (Kinshasa),FDU,FZBO,
Findlay,Medium airport,Findlay,United States,FDY,KFDY,FDY
Fetlar,Small airport,Fetlar Island,United Kingdom,FEA,,
Sanfebagar,Small airport,Sanfebagar,Nepal,FEB,VNSR,
Jo? Durval Carneiro,Small airport,Feira De Santana,Brazil,FEC,SBFE,
Fergana International,Small airport,Fergana,Uzbekistan,FEG,UTFF,
Ferkessedougou,Small airport,Ferkessedougou,C?e d'Ivoire,FEK,DIFK,
F?stenfeldbruck,Medium airport,F?stenfeldbruck,Germany,FEL,ETSF,
Fernando de Noronha,Medium airport,Fernando De Noronha,Brazil,FEN,SBFN,
Albertus,Small airport,Freeport,United States,FEP,KFEP,FEP
Francis E Warren Air Force Base,Heliport,Cheyenne,United States,FEW,KFEW,FEW
Sa?s,Medium airport,Fes,Morocco,FEZ,GMFF,
First Flight,Small airport,Kill Devil Hills,United States,FFA,KFFA,FFA
RAF Fairford,Large airport,Fairford,United Kingdom,FFD,EGVA,
Fergus Falls Municipal - Einar Mickelson Field,Small airport,Fergus Falls,United States,FFM,KFFM,FFM
Wright-Patterson Air Force Base,Large airport,Dayton,United States,FFO,KFFO,FFO
Futaleuf?Small airport,Futaleufu,Chile,FFU,SCFT,,
Fderik,Small airport,Fderik,Mauritania,FGD,GQPF,
Fagali'i,Small airport,Apia,Samoa,FGI,NSFI,
Fox,Heliport,Fox,New Zealand,FGL,NZFH,
Fangatau,Medium airport,,French Polynesia,FGU,NTGB,
Fernandina Beach Municipal잺losed,Closed,Fernandina Beach,United States,FHB,KFHB,
Sierra Vista Municipal Libby Army Air Field,Medium airport,Fort Huachuca Sierra Vista,United States,FHU,KFHU,FHU
Fakahina,Small airport,Fakahina,French Polynesia,FHZ,NTKH,
Fire Cove잺losed,Closed,Fire Cove,United States,FIC,,
Elizabeth Field,Small airport,Fishers Island,United States,FID,0B8,0B8
Fair Isle,Medium airport,Fair Isle,United Kingdom,FIE,EGEF,
Fria,Small airport,Fria,Guinea,FIG,GUFA,
Ndjili International,Medium airport,Kinshasa,Congo (Kinshasa),FIH,FZAA,
Finke,Small airport,Finke,Australia,FIK,YFNE,
Fillmore Municipal,Small airport,Fillmore,United States,FIL,KFOM,FOM
Finschhafen,Small airport,Buki,Papua New Guinea,FIN,AYFI,
Five Finger CG,Heliport,Five Finger,United States,FIV,2AK3,2AK3
Fitzroy Crossing,Medium airport,,Australia,FIZ,YFTZ,
Fujairah International,Medium airport,,United Arab Emirates,FJR,OMFJ,
Karlsruhe Baden-Baden,Large airport,Baden-Baden,Germany,FKB,EDSB,
Sculthorp RAF잺losed,Closed,Fakenham,United Kingdom,FKH,,
Bangoka International,Medium airport,Kisangani,Congo (Kinshasa),FKI,FZIC,
Fukui,Medium airport,,Japan,FKJ,RJNF,
Venango Regional,Medium airport,Franklin,United States,FKL,KFKL,FKL
Fakfak,Medium airport,Fakfak-Papua Island,Indonesia,FKQ,WASF,
Fukushima,Medium airport,Sukagawa,Japan,FKS,RJSF,
Gustavo Artunduaga Paredes,Medium airport,Florencia,Colombia,FLA,SKFL,
Cangapara,Small airport,Floriano,Brazil,FLB,SNQG,
Falls Creek잺losed,Closed,Falls Creek,Australia,FLC,,
Fond du Lac County,Small airport,Fond du Lac,United States,FLD,KFLD,FLD
Fort Lee Army Airfield잺losed,Closed,Fort Lee,United States,FLE,,
Flensburg-Sch?erhaus,Small airport,Flensburg,Germany,FLF,EDXF,
Flagstaff Pulliam,Medium airport,Flagstaff,United States,FLG,KFLG,FLG
Flotta Isle,Small airport,Flotta Isle,United Kingdom,FLH,EGZR,
Holt,Small airport,Flateyri,Iceland,FLI,BIHT,
Falls Bay잺losed,Closed,Falls Bay,United States,FLJ,,
Fort Lauderdale Hollywood International,Large airport,Fort Lauderdale,United States,FLL,KFLL,FLL
Filadelfia,Small airport,Filadelfia,Paraguay,FLM,SGFI,
Herc?io Luz International,Large airport,Florian?olis,Brazil,FLN,SBFL,
Florence Regional,Medium airport,Florence,United States,FLO,KFLO,FLO
Marion County Regional,Small airport,Flippin,United States,FLP,KFLP,FLP
Peretola,Medium airport,Firenze,Italy,FLR,LIRQ,
Flinders Island,Small airport,Flinders Island,Australia,FLS,YFLI,
Flat,Small airport,Flat,United States,FLT,FLT,FLT
Flushing잺losed,Closed,Queens,United States,FLU,KFLU,
Sherman Army Air Field,Small airport,Fort Leavenworth,United States,FLV,KFLV,FLV
Flores,Medium airport,Santa Cruz das Flores,Portugal,FLW,LPFL,
Finley,Small airport,,Australia,FLY,YFIL,
Formosa,Medium airport,Formosa,Argentina,FMA,SARF,
Five Mile잺losed,Closed,Five Mile,United States,FMC,PAFV,
Tipton,Medium airport,Fort Meade(Odenton),United States,FME,KFME,FME
Flamingo,Small airport,Brasilito,Costa Rica,FMG,MRFL,
Cape Cod Coast Guard Air Station,Small airport,Falmouth,United States,FMH,KFMH,FMH
Kalemie,Medium airport,,Congo (Kinshasa),FMI,FZRF,
Memmingen Allgau,Medium airport,Memmingen,Germany,FMM,EDJA,
Four Corners Regional,Medium airport,Farmington,United States,FMN,KFMN,FMN
M?ster Osnabr?k,Large airport,M?ster,Germany,FMO,EDDG,
Fort Madison Municipal,Small airport,Fort Madison,United States,FMS,KFSW,FSW
Florence Municipal,Small airport,Florence,United States,FMU,,6S2
Page Field,Medium airport,Fort Myers,United States,FMY,KFMY,FMY
Lungi International,Medium airport,Freetown,Sierra Leone,FNA,GFLL,
Neubrandenburg,Airport,Neubrandenburg,Germany,FNB,EDBN,
Madeira,Medium airport,Funchal,Portugal,FNC,LPMA,
Fane,Small airport,Fane Mission,Papua New Guinea,FNE,AYFA,
Fada N'gourma,Small airport,Fada N'gourma,Burkina Faso,FNG,DFEF,
Fincha,Small airport,Fincha,Ethiopia,FNH,HAFN,
N?es-Arles-Camargue,Medium airport,N?es/Garons,France,FNI,LFTW,
Pyongyang Sunan International,Medium airport,Pyongyang,North Korea,FNJ,ZKPY,
Fin Creek잺losed,Closed,Fin Creek,United States,FNK,,
Fort Collins Loveland Municipal,Small airport,Fort Collins/Loveland,United States,FNL,KFNL,FNL
Funter Bay,Seaplane base,Funter Bay,United States,FNR,PANR,FNR
Bishop International,Medium airport,Flint,United States,FNT,KFNT,FNT
Oristano-Fenosu,Small airport,Oristano,Italy,FNU,LIER,
Foula,Small airport,Foula,United Kingdom,FOA,EGFO,
Fort Bragg,Small airport,Fort Bragg,United States,FOB,82CL,82CL
Fuzhou Changle International,Large airport,Fuzhou,China,FOC,ZSFZ,
Fort Dodge Regional,Medium airport,Fort Dodge,United States,FOD,KFOD,FOD
Topeka Regional - Forbes Field,Medium airport,Topeka,United States,FOE,KFOE,FOE
"Foggia ""Gino Lisa""",Medium airport,Foggia,Italy,FOG,LIBF,
Francis S Gabreski,Small airport,Westhampton Beach,United States,FOK,KFOK,FOK
Foumban Nkounja,Medium airport,Foumban,Cameroon,FOM,FKKM,
Arenal,Small airport,La Fortuna/San Carlos,Costa Rica,FON,MRAN,
Kornasoren Airfield,Small airport,Kornasoren-Numfoor Island,Indonesia,FOO,WABF,
Fort Gillem잺losed,Closed,Fort Gillem,United States,FOP,65GA,65GA
Pinto Martins International,Medium airport,Fortaleza,Brazil,FOR,SBFZ,
Forrest,Medium airport,,Australia,FOS,YFRT,
Forster (Wallis Is),Small airport,,Australia,FOT,YFST,
Fougamou,Small airport,Fougamou,Gabon,FOU,FOGF,
Fox잺losed,Closed,Fox,United States,FOX,,
Foya잺losed,Closed,Foya,Liberia,FOY,,
Grand Bahama International,Medium airport,Freeport,Bahamas,FPO,MYGF,
St Lucie County International,Medium airport,Fort Pierce,United States,FPR,KFPR,FPR
Perry-Foley,Small airport,Perry,United States,FPY,40J,40J
Frankfurt am Main,Large airport,Frankfurt am Main,Germany,FRA,EDDF,
Forbes,Medium airport,Forbes,Australia,FRB,YFBS,
Franca,Small airport,Franca,Brazil,FRC,SIMK,
Friday Harbor,Small airport,Friday Harbor,United States,FRD,KFHR,FHR
Fera/Maringe,Small airport,Fera Island,Solomon Islands,FRE,AGGF,
